Ticker,24hour,12hour,8hour,4hour,1hour
UTI,1,0,0,0,0
NGA,1,0,0,0,0
PDD,2,0,0,0,0
EXPE,3,0,0,0,0
FIF,2,1,1,1,1
TTCF,2,1,1,1,1
FNKO,3,0,0,0,0
SKT,4,3,3,0,0
NTES,2,1,1,0,0
IMAX,2,0,0,0,0
PBPB,1,0,0,0,0
SWBI,1,0,0,0,0
DLB,2,1,1,0,0
CRON,4,1,1,1,0
WWE,3,0,0,0,0
CRMT,2,1,1,0,0
FUBO,12,8,7,0,0
FAM,2,1,1,1,0
VC,1,0,0,0,0
BBBY,2,1,1,1,0
NGL,8,7,5,0,0
PSTH,4,0,0,0,0
GSAT,2,1,1,1,0
XSPA,2,0,0,0,0
OPK,1,0,0,0,0
SLS,2,0,0,0,0
MMM,3,2,2,1,0
AEO,2,0,0,0,0
STIC,1,0,0,0,0
FSR,6,4,4,1,0
SBUX,8,6,4,1,0
CUK,2,0,0,0,0
NP,2,1,1,0,0
EDF,1,0,0,0,0
MOR,1,0,0,0,0
ENPH,8,6,5,4,3
TTD,2,1,0,0,0
HGEN,1,0,0,0,0
GF,14,12,11,0,0
NCLH,2,1,1,1,0
ODT,1,0,0,0,0
CLOV,4,3,3,2,0
HD,1,0,0,0,0
OC,4,2,1,0,0
NYMT,2,1,1,0,0
ATNX,3,1,1,0,0
IDT,1,0,0,0,0
VSTA,1,0,0,0,0
FMAC,1,0,0,0,0
ASO,7,5,5,4,0
DVN,2,1,1,1,0
OXY,4,0,0,0,0
PAYA,1,0,0,0,0
FRX,1,0,0,0,0
BNGO,6,5,4,4,0
FINV,2,0,0,0,0
FSKR,1,0,0,0,0
LVS,1,0,0,0,0
NPV,2,1,0,0,0
FLIR,2,0,0,0,0
EB,2,1,0,0,0
TLSA,1,0,0,0,0
ACC,2,1,1,0,0
TRVG,4,3,2,1,0
IAE,1,0,0,0,0
BMY,2,0,0,0,0
SHEN,1,0,0,0,0
SLG,1,0,0,0,0
EPD,2,1,1,1,1
BWAY,1,0,0,0,0
IVR,3,1,1,1,0
DLA,3,0,0,0,0
ICAD,1,0,0,0,0
DAC,3,2,1,0,0
ADUS,1,0,0,0,0
AREC,1,0,0,0,0
REGN,1,0,0,0,0
PACB,2,1,1,0,0
SPR,2,1,1,0,0
WAB,1,0,0,0,0
RTP,1,0,0,0,0
ORCL,2,1,1,0,0
BTO,3,1,1,0,0
SABR,1,0,0,0,0
TIGR,4,3,2,0,0
STZ,3,2,2,0,0
LLY,2,1,1,0,0
SAVA,4,1,0,0,0
AMBA,1,0,0,0,0
TSN,1,0,0,0,0
HOL,2,1,1,0,0
IIPR,1,0,0,0,0
SXC,1,0,0,0,0
LGND,1,0,0,0,0
AIKI,4,2,0,0,0
SDC,2,1,1,1,1
RL,2,1,1,1,0
CRWD,25,23,23,21,16
BAM,2,1,1,0,0
JNJ,2,1,1,0,0
AHH,3,2,2,0,0
ACM,3,1,0,0,0
CFR,1,0,0,0,0
APA,1,0,0,0,0
CMG,1,0,0,0,0
ASRT,2,1,1,0,0
UNF,1,0,0,0,0
GIK,1,0,0,0,0
NNDM,12,11,5,3,2
KMI,3,2,2,2,0
FRA,2,1,0,0,0
PBH,1,1,0,0,0
SYY,1,1,0,0,0
ERJ,1,1,0,0,0
LESL,1,1,0,0,0
DS,8,8,7,0,0
MRO,6,6,4,3,0
NFLX,4,4,3,1,0
KTOS,7,7,6,1,0
NPA,1,1,0,0,0
XNET,3,3,0,0,0
WFC,8,8,7,3,2
AES,2,2,1,0,0
JCI,1,1,0,0,0
TRMB,1,1,0,0,0
JPM,3,3,2,1,0
DT,1,1,0,0,0
STIM,2,2,1,0,0
SIRI,2,2,1,0,0
MLM,1,1,0,0,0
HL,2,2,1,0,0
VLDR,3,3,2,1,1
BTI,2,2,0,0,0
POWW,1,1,0,0,0
PTR,1,1,0,0,0
KAR,1,1,1,0,0
GEVO,2,2,2,0,0
STNG,2,2,2,1,1
PTN,1,1,1,0,0
MGNI,5,5,5,1,0
LTC,1,1,1,0,0
GOSS,1,1,1,0,0
ACLS,1,1,1,0,0
DTF,1,1,1,0,0
ITRM,1,1,1,0,0
CP,1,1,1,0,0
ATNF,1,1,1,0,0
MFC,1,1,1,0,0
PSA,4,4,4,2,0
CBD,2,2,2,0,0
PPL,1,1,1,0,0
NXE,3,3,3,0,0
ETSY,2,2,2,1,0
SFIX,2,2,2,0,0
FI,1,1,1,0,0
BILI,3,3,3,0,0
DNK,1,1,1,0,0
UPWK,2,2,2,0,0
FVRR,1,1,1,0,0
RDFN,3,3,3,2,0
BST,1,1,1,0,0
GSAH,5,5,5,2,1
NXP,3,3,3,2,1
DISCK,1,1,1,0,0
CSBR,1,1,1,0,0
THR,2,2,2,0,0
MTRX,1,1,1,0,0
CUZ,4,4,4,2,0
ALTU,1,1,1,0,0
IMGN,1,1,1,0,0
