Ticker,24hour
AMC,1084
GME,6446
BABA,64
PLTR,553
BFLY,9
UAVS,3
PSA,7
RKT,428
STPK,2
SNDL,203
PRPL,12
NOK,106
DPZ,1
TSLA,374
FAM,1
UWMC,623
VIAC,19
EB,6
NIO,172
BB,147
CSPR,1
AAPL,315
APHA,129
TLRY,62
BNGO,7
F,160
GOEV,96
ATH,99
EXPI,3
MGP,1
BMBL,1
MSM,15
CCIV,12
RBLX,68
CLF,7
TLSA,3
BMO,4
FCEL,4
CGC,7
DKNG,35
SDC,1
VBIV,1
DM,14
BTO,2
AMZN,46
NVDA,15
CRSR,25
XPEV,4
MVIS,35
ACAD,1
XOM,16
ATNX,1
GPRO,22
FAT,4
NKLA,17
TSM,22
IVR,5
ITT,2
PGRE,3
ZNGA,10
OC,1
ASO,12
SKT,8
LIZI,1
OGI,16
RESN,1
AMRS,2
TTCF,2
AZN,7
PSTH,5
WH,2
GIK,3
UI,94
LMT,9
CZR,4
RFP,1
IDEX,4
SCHW,2
FNF,1
NXE,2
MSFT,27
TWLO,3
KMPH,7
THCB,1
FCX,2
QCOM,6
LUV,5
FEYE,3
EOD,206
QS,19
CLOV,10
FUBO,8
NFLX,3
CCJ,6
WMT,10
ACB,5
NNOX,2
JWN,1
SPWR,1
SRNE,1
SWBI,1
EGHT,5
RNG,3
CMO,1
UUUU,5
DCF,1
CERN,3
DS,1
FWONK,1
SLM,3
SPCE,24
GNOG,5
ZM,8
FSR,8
GMED,6
PNC,1
LOGI,2
NRZ,5
RWT,1
ONTX,1
AACQ,1
VACQ,3
IRT,1
FB,19
AMCX,2
SONO,3
INTC,17
STC,1
ASX,2
OTRK,2
TRMB,2
CCI,1
UE,2
FNKO,4
RLI,1
SSB,1
ZOM,18
MRNA,6
ZYNE,1
DNN,5
SREV,1
GSAT,8
NCLH,8
AAL,17
CX,1
OLED,1
CTRM,8
CHWY,6
FUTU,2
ENPH,5
BYND,2
ABNB,5
IBKR,8
BAC,8
MNKD,1
IDE,1
PRTS,1
CCL,5
NHS,2
XNET,7
HOL,3
JPM,3
FCF,1
MAXR,5
AGI,2
NNDM,9
DECK,3
APPH,1
HYLN,3
NRG,4
PAE,1
SSP,1
DK,5
HGEN,1
WKHS,4
JMIA,3
SSPK,1
AGFY,1
VFF,7
BBY,3
WFC,6
OFC,1
TNXP,3
TDS,3
BBBY,2
PSEC,3
FUV,4
STIM,5
IMMP,2
AREC,4
NYT,2
FSD,4
DTE,3
BBW,9
NAV,1
NGL,8
WF,7
MGNI,1
SKLZ,10
VYGR,1
XSPA,2
CRSP,4
MTLS,2
TDOC,12
GNE,3
RIGL,1
NAKD,2
AHH,8
KTOS,2
HL,4
PACB,1
BLNK,4
BWA,4
IPOE,13
WBS,3
ATVI,1
TTWO,4
PTON,8
GOOGL,3
RDFN,2
GRWG,13
BILI,3
PDD,3
ACH,4
RWLK,1
KMI,7
CTXR,2
LMND,8
SMAR,1
FDX,7
MIK,1
UNFI,3
FCT,1
OCGN,17
DGX,1
CLSK,1
WWE,4
PYPL,2
MRO,1
DISCA,2
FOXA,1
RCL,4
VYNE,2
FRX,1
TGT,7
SAVA,31
NKE,3
TUP,1
STLA,1
LPCN,2
CUZ,1
ATNF,5
SNE,2
CLNE,4
IEA,1
FSLY,6
LKCO,3
CTO,4
XELA,1
TRMD,1
MRK,5
CRWD,7
GWB,1
CBD,2
CELH,1
AMWL,1
GGG,1
PLBY,7
BW,1
BIDU,1
UAL,7
AVXL,3
CLPS,2
MCD,2
MGI,1
MMM,5
SHO,2
SBUX,5
APLE,1
TTD,1
LMB,2
YSG,1
DG,3
EDD,1
VLO,1
AMRN,5
ACA,1
ETSY,1
KHC,2
SU,4
LUMN,6
IRCP,1
NXP,1
RBC,6
HYFM,2
CRON,4
TGTX,1
PFE,2
VUZI,4
EW,5
NWS,1
UNB,1
FITB,1
SABR,1
SIG,1
SLDB,3
AVTR,1
NHIC,2
DOCU,1
NVR,2
SEB,1
BKNG,1
IBRX,3
IEP,1
CHY,1
OCDX,1
GSAH,2
AWF,1
SXC,1
MRC,1
DNOW,1
UBA,1
ARCC,1
HFC,1
IMKTA,1
SLG,1
GIS,1
UA,2
ARMK,1
PCAR,2
PCI,1
THR,2
NDAQ,1
AGM,1
TRVG,4
ASC,1
CSIQ,3
PANW,1
FTNT,2
CHKP,1
UBER,2
LAZR,2
CUK,1
CHUY,1
LBC,1
ERJ,5
KOSS,4
LLY,3
LEE,1
BFI,1
IAG,3
AFRM,1
GEVO,2
DVAX,1
HPE,2
OTLK,1
ABBV,2
HEXO,6
AZZ,1
TRQ,2
XM,2
NL,2
FUL,1
CRM,6
SPLK,1
SVC,2
PBR,3
MKD,5
ISUN,1
LIVX,1
CMC,1
LLNW,1
TSE,1
NVTA,1
WTRH,4
DBX,1
IPOF,1
EBON,8
SPR,2
DL,2
MMT,1
VLDR,2
AYX,3
BBD,1
DEH,1
TMO,1
MMS,2
SINO,4
DOOO,1
AY,3
MRVL,1
ICLK,1
FLL,2
EXPE,1
HD,2
DMS,1
VFC,1
UPST,37
WB,1
TIGR,1
VC,1
ARD,1
XLNX,3
CME,1
OLN,2
TRCH,3
CIO,1
TITN,1
ADBE,1
UMC,3
HIMX,1
KLIC,1
ACMR,1
TXMD,5
IIPR,6
SSD,1
AAN,1
REI,2
GF,3
AHT,2
CLVR,1
CP,4
RBBN,1
TMDX,1
VTRS,1
NHI,1
MPLN,1
GMBL,2
BAM,3
PRTY,4
AGEN,2
NP,1
BNS,1
GOCO,1
ABCL,1
PFL,1
TEVA,2
HOFV,1
BNED,1
ANGI,1
FICO,1
AVGO,2
DMYI,1
GDRX,1
CNK,1
FSKR,1
AIG,3
JBGS,1
NDLS,1
GHVI,1
REGI,1
QEP,1
BFT,1
CROX,1
BTI,1
BIVI,1
UTI,1
STWD,2
XERS,1
REGN,1
CARG,1
AWK,1
MSI,1
AXP,1
TWTR,1
NVAX,1
PLL,1
BCS,1
DSL,1
IMAX,3
KODK,1
DTF,1
DBI,1
WTI,1
MSTR,1
MPC,1
JNJ,1
PHUN,2
CMG,1
KDP,1
IRM,1
NYMT,1
FLNT,1
MLM,2
DAL,5
NG,1
FTFT,2
CMD,1
VMW,1
MPAA,1
VOD,2
TKC,1
HIG,1
GNRS,1
GOOG,1
SNEX,1
RTX,1
DVA,1
BRC,1
LORL,1
WIX,1
ANVS,1
AEYE,1
PBA,1
HEC,1
