Ticker,1hour
MVIS,6
BB,5
PLTR,18
GME,324
AMC,67
BBW,1
AAPL,54
AMRS,1
SNDL,8
GF,1
F,3
FSR,1
BFLY,1
CMD,1
VMW,1
TSLA,5
AMZN,3
GMBL,1
MPAA,1
NOK,2
HPE,1
UWMC,28
WF,3
NGL,1
DAL,4
FSD,1
NIO,3
VOD,2
RKT,19
TKC,1
MSM,2
CHWY,1
APHA,10
HIG,1
IBKR,1
GNE,1
XLNX,2
ATH,2
KOSS,1
ACB,1
PSA,1
GNRS,1
GOOG,1
SNEX,1
CCIV,2
STWD,1
RTX,1
DVA,1
UI,1
BRC,1
BABA,2
GRWG,8
TLRY,4
LORL,1
EXPI,1
TLSA,1
REI,1
FB,1
UPST,4
SKLZ,1
EOD,5
WIX,1
SAVA,1
ANVS,1
TGT,1
KMI,1
AEYE,1
CLF,1
IIPR,1
MLM,1
PBA,1
HEC,1
EBON,1
IMAX,1
MSFT,1
NFLX,1
CLOV,1
