Ticker,8hour
RKT,236
UWMC,372
GME,2493
MMT,1
GOEV,27
AAPL,128
SNDL,150
ATH,30
TSLA,107
CTRM,5
PLBY,3
ENPH,1
PLTR,210
AAL,3
EOD,26
WMT,2
GIK,1
VLDR,2
AYX,3
KMPH,2
QS,4
BABA,12
AMC,469
UI,62
APHA,79
FSD,2
SPCE,10
MVIS,18
EB,1
BLNK,3
IDEX,2
NIO,75
FB,7
GMED,1
OCGN,5
BBD,1
MSFT,12
BB,55
DEH,1
TMO,1
F,60
MMS,2
CCIV,8
SINO,4
NOK,36
XOM,7
IVR,2
DOOO,1
AY,3
STIM,2
NKLA,9
GPRO,10
CRSR,6
MRVL,1
ICLK,1
VIAC,4
KOSS,3
CRM,4
CRWD,4
MKD,3
NGL,4
TLRY,34
TSM,12
SAVA,6
CSIQ,1
FSLY,2
SU,2
LUMN,3
FDX,4
AMZN,19
DKNG,11
EBON,7
SHO,1
CTO,1
ZNGA,2
FLL,2
NVDA,4
NNDM,3
NL,1
CERN,1
EXPE,1
HD,2
DMS,1
ASO,5
HEXO,3
VFC,1
RBLX,8
UPST,37
CCJ,2
AZN,1
WB,1
TIGR,1
NRZ,3
LMND,2
VC,1
ARD,1
LMT,1
WBS,1
VUZI,2
XLNX,3
CME,1
OLN,2
TRCH,3
SVC,1
CIO,1
TITN,1
ADBE,1
TGT,5
UMC,3
HIMX,1
KLIC,1
CLOV,8
BNGO,2
GSAT,3
ACMR,1
TXMD,5
GRWG,12
IIPR,6
SSD,1
PRPL,3
AAN,1
DISCA,1
IPOE,4
ATNF,3
INTC,10
ACB,3
VFF,3
REI,2
GF,3
AHT,2
ZOM,2
CLVR,1
HOL,2
CP,4
RBBN,1
TMDX,1
VTRS,1
PDD,2
CGC,6
NHI,1
MPLN,1
GNOG,3
GMBL,2
BAM,3
PRTY,4
CRON,3
OGI,9
SPR,1
AGEN,2
NAKD,1
DM,3
NP,1
BNS,1
GOCO,1
ERJ,3
ABCL,1
PFL,1
TEVA,2
HOFV,1
BNED,1
ZM,4
CBD,1
ANGI,1
XPEV,1
TTWO,2
TDS,2
BBY,1
UUUU,3
FICO,1
PSTH,1
TWLO,1
QCOM,3
AVGO,2
DMYI,1
GDRX,1
ABNB,1
LUV,2
FUV,2
MMM,2
SBUX,1
STPK,1
HYLN,1
UAL,3
FSR,3
BFLY,5
CNK,1
CHWY,3
FSKR,1
AIG,3
JBGS,1
SKLZ,4
SLDB,1
NDLS,1
TRVG,1
BYND,1
DNN,2
GHVI,1
MSM,6
WFC,2
PBR,2
REGI,1
QEP,1
BFT,1
ACH,2
PTON,4
CROX,1
BTI,1
BIVI,1
BMO,2
MRK,1
UTI,1
JPM,1
STWD,2
FNKO,1
NCLH,3
HL,2
LKCO,1
XERS,1
WTRH,3
REGN,1
CARG,1
EW,1
AWK,1
MSI,1
VYNE,1
GEVO,1
AXP,1
CCL,2
RCL,2
TWTR,1
NVAX,1
PLL,1
NKE,1
BCS,1
DSL,1
ABBV,1
TDOC,6
BAC,2
IMAX,3
CZR,1
DG,1
KODK,1
DTF,1
PCAR,1
UA,1
THR,1
DBI,1
WTI,1
MSTR,1
CRSP,2
MPC,1
JNJ,1
DL,1
LOGI,1
AMRN,4
IBRX,2
PHUN,2
CMG,1
KDP,1
PSA,2
IRM,1
LLY,1
PSEC,1
WKHS,1
NRG,1
NYMT,1
BBBY,1
FUBO,1
FLNT,1
MLM,2
DAL,5
NG,1
UNFI,1
FTFT,2
BBW,1
AMRS,1
CMD,1
VMW,1
MPAA,1
HPE,1
WF,3
VOD,2
TKC,1
HIG,1
IBKR,1
GNE,1
GNRS,1
GOOG,1
SNEX,1
RTX,1
DVA,1
BRC,1
LORL,1
EXPI,1
TLSA,1
WIX,1
ANVS,1
KMI,1
AEYE,1
CLF,1
PBA,1
HEC,1
NFLX,1
